Tweet text,time,impressions,likes,retweets,replies,engagements,url clicks,記事内のアフィリエイトリンクのクリック率,気をつけた事,発生金額
"安く作業効率化,スクレイピング,ツール作成します 最安値、プログラミングで作業効率化をお手伝いいたします。 | ココナラ[coconala]
 https://t.co/8bS5jSXxLV",2022-06-19,23.0,0.0,0.0,0.0,1.0,1.0,,,
"作業効率化,webスクレイピングを承ります 最安値、プログラミングで作業効率化をお手伝いいたします。 | 作業自動化・効率化 | ココナラ https://t.co/8bS5jSWZWn",2022-06-09,29.0,0.0,0.0,0.0,2.0,1.0,,,
"ココナラで案件を受注しました！
#ココナラ 
 https://t.co/QM2ijCh2FN",2022-07-05,30.0,0.0,0.0,0.0,1.0,1.0,,,
"ココナラで出品したサービスが購入されました！
「安く作業効率化,スクレイピング,ツール作成します 最安値、プログラミングで作業効率化をお手伝いいたします。」
#ココナラ 
 https://t.co/alPYJZWMIj",2022-06-30,42.0,1.0,0.0,0.0,1.0,0.0,,,
"作業効率化,webスクレイピングを承ります 最安値、プログラミングで作業効率化をお手伝いいたします。 | ココナラ[coconala]
 https://t.co/8bS5jSXxLV",2022-06-11,41.0,2.0,0.0,0.0,2.0,0.0,,,
"作業効率化,webスクレイピングを承ります 最安値、プログラミングで作業効率化をお手伝いいたします。 | 作業自動化・効率化 | ココナラ https://t.co/8bS5jSXxLV",2022-06-10,29.0,0.0,0.0,0.0,0.0,0.0,,,
"ココナラで出品したサービスが購入されました！
「作業効率化,webスクレイピングを承ります 最安値、プログラミングで作業効率化をお手伝いいたします。」 https://t.co/K2L7Ornu0H #ココナラ",2022-06-08,31.0,1.0,0.0,0.0,1.0,0.0,,,
"ココナラでサービスを出品しました！
「作業効率化,webスクレイピングを承ります 最安値、プログラミングで作業効率化をお手伝いいたします。」
 #ココナラ
 https://t.co/7wqNAVmQ8Z",2022-06-07,26.0,2.0,0.0,0.0,5.0,0.0,,,
"ココナラでサービスを出品しました！
「スクレイピングツールを作成いたします プログラムの知識がない方必見！画面操作で楽々自動化しよう」
#ココナラ https://t.co/ryUvIdc07m",2022-07-25,20.0,0.0,0.0,0.0,0.0,0.0,,,
"ココナラでサービスを出品しました！
「スクレイピングツールを作成いたします プログラムの知識がない方必見！画面操作で楽々自動化しよう」
 #ココナラ
 https://t.co/8LLZsJzTEk",2022-07-24,13.0,0.0,0.0,0.0,0.0,0.0,,,
"ココナラでサービスを出品しました！
「スクレイピングツールをGUIアプリで作成します プログラムの知識ない方必見です。」
 #ココナラ
 https://t.co/gq7y2Oi8Lw",2022-07-23,17.0,1.0,0.0,0.0,1.0,0.0,,,
"安く作業効率化,スクレイピング,ツール作成します 最安値、プログラミングで作業効率化をお手伝いいたします。 | ココナラ[coconala]
 https://t.co/8bS5jSFoxN",2022-07-09,43.0,0.0,0.0,0.0,0.0,0.0,,,
"安く作業効率化,スクレイピング,ツール作成します 最安値、プログラミングで作業効率化をお手伝いいたします。 | 作業自動化・効率化 | ココナラ https://t.co/8bS5jSFoxN",2022-07-08,47.0,1.0,0.0,0.0,1.0,0.0,,,
